Species,timepoint,Inital.Treatment,Secondary.Treatment,Tank,Sample_date,chla_mean,chla_se,chlc2_mean,chlc2_se
Diploria labrinthiformis,TP2,Control,NONE,4,20240723,0.9148916749163897,0.050212196616759845,0.24445373373637438,0.016319923605570656
Diploria labrinthiformis,TP2,Control,NONE,5,20240723,0.7881940271305502,0.22066840793698145,0.25471359514552055,0.07272648391831125
Diploria labrinthiformis,TP2,High_Temp,NONE,6,20240723,0.18291265207738966,0.1851015809652432,0.057488091166984924,0.06503270495672199
Diploria labrinthiformis,TP2,High_Temp,NONE,7,20240723,0.6425723112550077,0.20795107247039582,0.22033569917655654,0.07228855456242025
Diploria labrinthiformis,TP2,Low_pH,NONE,2,20240723,1.0146122157168558,0.22917981858613426,0.30685641429786126,0.07432058136500352
Diploria labrinthiformis,TP2,Low_pH,NONE,3,20240723,0.5242887186328663,0.19734495903653107,0.1508072332092579,0.07136547231790885
Diploria labrinthiformis,TP3,Control,NONE,4,20240806,0.5462591359535945,0.17297456201837608,0.15640650438545814,0.048588911181798526
Diploria labrinthiformis,TP3,Control,NONE,5,20240806,0.5932916908060002,0.30859051114721975,0.14487163762494715,0.0968008079886389
Diploria labrinthiformis,TP3,High_Temp,NONE,6,20240806,0.5289195107457236,0.2793279298143892,0.13668585556799134,0.08456218089689267
Diploria labrinthiformis,TP3,High_Temp,NONE,7,20240806,0.8488054509416593,0.28120783266074106,0.2570704596215438,0.09514417039513097
Diploria labrinthiformis,TP3,Low_pH,NONE,2,20240806,0.5985450965966452,0.21050460251582664,0.17472695270704047,0.07786318638206526
Diploria labrinthiformis,TP3,Low_pH,NONE,3,20240806,0.6623831505502564,0.20845267482421206,0.2184643281169852,0.07293755899587671
Diploria labrinthiformis,TP4,Control,Control,5,20240815,0.5847194550113515,0.13136716566889503,0.1644559321370783,0.04154331455144872
Diploria labrinthiformis,TP4,Control,High_Temp,4,20240815,0.6374882895680841,0.06534958701046956,0.224056774270509,0.030150828289379584
Diploria labrinthiformis,TP4,High_Temp,Control,7,20240815,0.9435443487824986,0.047462681541076385,0.3201226083097083,0.031714981342177005
Diploria labrinthiformis,TP4,High_Temp,High_Temp,6,20240815,0.5303086214963072,0.1632773508614066,0.16022439411362094,0.05836677288974579
Diploria labrinthiformis,TP4,Low_pH,Control,3,20240815,0.9154647197030606,0.09696275765440496,0.26567262703430367,0.02119637193483889
Diploria labrinthiformis,TP4,Low_pH,High_Temp,2,20240815,0.701738370047836,0.0755104564218415,0.2147727928165947,0.026384109421751768
Madracis decactis,TP2,Control,NONE,4,20240723,0.6612280957120115,0.713190450998637,0.032045818660235585,0.11123502449088049
Madracis decactis,TP2,Control,NONE,5,20240723,0.6213124596327226,0.12195746567171535,0.19377401890429816,0.029446473348926208
Madracis decactis,TP2,High_Temp,NONE,6,20240723,0.16488535590992556,0.20037556755919175,0.007341673768282422,0.08263734897262102
Madracis decactis,TP2,High_Temp,NONE,7,20240723,0.48898425050316563,0.03138582363568534,0.13382663964626731,0.012973002109737628
Madracis decactis,TP2,Low_pH,NONE,2,20240723,0.6760252440043275,0.17953917887410395,0.1746446428003518,0.05576116625052866
Madracis decactis,TP2,Low_pH,NONE,3,20240723,0.29245626744881964,0.30342542150428303,0.058556430045387554,0.08281831944189377
Madracis decactis,TP3,Control,NONE,4,20240806,0.7810014581712492,0.30444698265507186,0.24005047738639115,0.10884518303805878
Madracis decactis,TP3,Control,NONE,5,20240806,0.6188956224800312,0.21437148793403749,0.1586468964784026,0.05780101755577852
Madracis decactis,TP3,High_Temp,NONE,6,20240806,0.6388240214254641,0.20417480942059094,0.17042096707949195,0.0794745292430148
Madracis decactis,TP3,High_Temp,NONE,7,20240806,0.2016430418855766,0.13587519607488055,0.03022229410787977,0.026377988134204722
Madracis decactis,TP3,Low_pH,NONE,2,20240806,0.6806622901111399,0.21995360872169264,0.167449197383882,0.047601415695891276
Madracis decactis,TP3,Low_pH,NONE,3,20240806,0.8260750882985175,0.19622837947300414,0.23487784910393392,0.03494293154556552
Madracis decactis,TP4,Control,Control,5,20240815,0.7339574988430649,0.12470491651508235,0.19329711580606668,0.04668830354985699
Madracis decactis,TP4,Control,High_Temp,4,20240815,0.4645231848771699,0.08235322923665836,0.16721351482663033,0.03140350651658022
Madracis decactis,TP4,High_Temp,Control,7,20240815,0.685504194676396,0.10566961462851238,0.16207632807978214,0.03522689509882648
Madracis decactis,TP4,High_Temp,High_Temp,6,20240815,0.31201349773760423,0.1527370768403156,0.06443369954907617,0.05373228438959483
Madracis decactis,TP4,Low_pH,Control,3,20240815,0.6431989090193868,0.18950172239931967,0.15335278133467675,0.0319291695945844
Madracis decactis,TP4,Low_pH,High_Temp,2,20240815,0.28212902179997584,0.06301992364843811,0.08795153079051697,0.020662509319965834
