"","Species","DateMeasured","Treatment","Tank","Fv.Fm_Mean","Fv.Fm_SE"
"1","Diploria labyrinthiformis",20240702,"Acclimation","Acclimation",0.601878571428571,0.00267173467391301
"2","Diploria labyrinthiformis",20240705,"Acclimation","Acclimation",0.578833333317308,0.00592608959698474
"3","Diploria labyrinthiformis",20240719,"Control","4",0.534124999875,0.0105459947618216
"4","Diploria labyrinthiformis",20240719,"Control","5",0.51329166675,0.011429639412345
"5","Diploria labyrinthiformis",20240719,"High Heat","6",0.512125,0.0102649305574469
"6","Diploria labyrinthiformis",20240719,"High Heat","7",0.515083333375,0.0160783980227872
"7","Diploria labyrinthiformis",20240719,"Low pH","2",0.527333333375,0.00684754618400369
"8","Diploria labyrinthiformis",20240719,"Low pH","3",0.514333333375,0.0123441072361005
"9","Diploria labyrinthiformis",20240723,"Control","4",0.57570833325,0.0116289249759481
"10","Diploria labyrinthiformis",20240723,"Control","5",0.538791666625,0.0164618290806356
"11","Diploria labyrinthiformis",20240723,"High Heat","6",0.504208333375,0.0199554003879738
"12","Diploria labyrinthiformis",20240723,"High Heat","7",0.538791666375,0.0118761695085968
"13","Diploria labyrinthiformis",20240726,"Control","4",0.586541666625,0.0113548355924622
"14","Diploria labyrinthiformis",20240726,"Control","5",0.539125,0.011214881199259
"15","Diploria labyrinthiformis",20240726,"High Heat","6",0.556958333375,0.0102255200840149
"16","Diploria labyrinthiformis",20240726,"High Heat","7",0.5579583335,0.00619057067929262
"17","Diploria labyrinthiformis",20240726,"Low pH","2",0.578416666625,0.00589853021686301
"18","Diploria labyrinthiformis",20240726,"Low pH","3",0.549750000125,0.0142053743218547
"19","Diploria labyrinthiformis",20240730,"Control","4",0.584624999875,0.0100173337196924
"20","Diploria labyrinthiformis",20240730,"Control","5",0.563291666625,0.00519326386379777
"21","Diploria labyrinthiformis",20240730,"High Heat","6",0.58020833325,0.00781404349482951
"22","Diploria labyrinthiformis",20240730,"High Heat","7",0.615666666625,0.0169134116748847
"23","Diploria labyrinthiformis",20240730,"Low pH","2",0.57970833325,0.00600146728099068
"24","Diploria labyrinthiformis",20240730,"Low pH","3",0.567,0.0119057142429558
"25","Diploria labyrinthiformis",20240807,"Control","4",0.57929166675,0.00947499579495865
"26","Diploria labyrinthiformis",20240807,"Control","5",0.55645833325,0.0068260523552742
"27","Diploria labyrinthiformis",20240807,"High Heat","6",0.577125,0.00253541388406155
"28","Diploria labyrinthiformis",20240807,"High Heat","7",0.582,0.0069812674725876
"29","Diploria labyrinthiformis",20240807,"Low pH","2",0.57695833325,0.00598657145258824
"30","Diploria labyrinthiformis",20240807,"Low pH","3",0.564500000125,0.00955456345478473
