	Species	DateMeasured	Treatment	Tank	Fv.Fm_avg	Fv.Fm_se
1	Diploria labyrinthiformis	20240702	Acclimation	Acclimation	0.601878571	NA
2	Diploria labyrinthiformis	20240705	Acclimation	8	0.578833333	NA
3	Diploria labyrinthiformis	20240719	Control	4	0.534125	NA
4	Diploria labyrinthiformis	20240719	Control	5	0.513291667	NA
5	Diploria labyrinthiformis	20240719	Heat	6	0.512125	NA
6	Diploria labyrinthiformis	20240719	Heat	7	0.515083333	NA
7	Diploria labyrinthiformis	20240719	low_pH	2	0.527333333	NA
8	Diploria labyrinthiformis	20240719	low_pH	3	0.514333333	NA
9	Diploria labyrinthiformis	20240723	Control	4	0.575708333	NA
10	Diploria labyrinthiformis	20240723	Control	5	0.538791667	NA
11	Diploria labyrinthiformis	20240723	Heat	6	0.504208333	NA
12	Diploria labyrinthiformis	20240723	Heat	7	0.538791666	NA
13	Diploria labyrinthiformis	20240726	Control	4	0.586541667	NA
14	Diploria labyrinthiformis	20240726	Control	5	0.539125	NA
15	Diploria labyrinthiformis	20240726	Control	6	0.556958333	NA
16	Diploria labyrinthiformis	20240726	Control	7	0.557958334	NA
17	Diploria labyrinthiformis	20240726	low_pH	2	0.578416667	NA
18	Diploria labyrinthiformis	20240726	low_pH	3	0.54975	NA
19	Diploria labyrinthiformis	20240730	Control	4	0.584625	NA
20	Diploria labyrinthiformis	20240730	Control	5	0.563291667	NA
21	Diploria labyrinthiformis	20240730	Heat	6	0.580208333	NA
22	Diploria labyrinthiformis	20240730	Heat	7	0.615666667	NA
23	Diploria labyrinthiformis	20240730	low_pH	2	0.579708333	NA
24	Diploria labyrinthiformis	20240730	low_pH	3	0.567	NA
25	Diploria labyrinthiformis	20240807	Control	4	0.579291667	NA
26	Diploria labyrinthiformis	20240807	Control	5	0.556458333	NA
27	Diploria labyrinthiformis	20240807	Heat	6	0.577125	NA
28	Diploria labyrinthiformis	20240807	Heat	7	0.582	NA
29	Diploria labyrinthiformis	20240807	low_pH	2	0.576958333	NA
30	Diploria labyrinthiformis	20240807	low_pH	3	0.5645	NA
31	Diploria labyrinthiformis	20240809	Control	4	0.5815	NA
32	Diploria labyrinthiformis	20240809	Control	5	0.565666667	NA
33	Diploria labyrinthiformis	20240809	Heat	6	0.568916667	NA
34	Diploria labyrinthiformis	20240809	low_pH	2	0.543791667	NA
35	Diploria labyrinthiformis	20240809	low_pH	3	0.568166667	NA
36	Diploria labyrinthiformis	20240815	Control	4	0.541416667	NA
37	Diploria labyrinthiformis	20240815	Control	5	0.589666667	NA
38	Diploria labyrinthiformis	20240815	Heat	6	0.538208333	NA
39	Diploria labyrinthiformis	20240815	Heat	7	0.6155	NA
40	Diploria labyrinthiformis	20240815	low_pH	2	0.545166667	NA
41	Diploria labyrinthiformis	20240815	low_pH	3	0.6005	NA
42	Madracis decactis	20240702	Acclimation	Acclimation	0.580521739	NA
43	Madracis decactis	20240705	Acclimation	8	0.577221154	NA
44	Madracis decactis	20240719	Control	4	0.480958334	NA
45	Madracis decactis	20240719	Control	5	0.472875	NA
46	Madracis decactis	20240719	Heat	6	0.472416667	NA
47	Madracis decactis	20240719	Heat	7	0.415714286	NA
48	Madracis decactis	20240719	low_pH	2	0.474791667	NA
49	Madracis decactis	20240719	low_pH	3	0.4525	NA
50	Madracis decactis	20240723	Control	4	0.50025	NA
51	Madracis decactis	20240723	Heat	6	0.479875	NA
52	Madracis decactis	20240723	Heat	7	0.481375	NA
53	Madracis decactis	20240726	Control	4	0.508083334	NA
54	Madracis decactis	20240726	Control	5	0.471458333	NA
55	Madracis decactis	20240726	Control	6	0.439	NA
56	Madracis decactis	20240726	Control	7	0.476541667	NA
57	Madracis decactis	20240726	low_pH	2	0.510083333	NA
58	Madracis decactis	20240726	low_pH	3	0.484125	NA
59	Madracis decactis	20240730	Control	4	0.460541667	NA
60	Madracis decactis	20240730	Control	5	0.4775	NA
61	Madracis decactis	20240730	Heat	6	0.513291667	NA
62	Madracis decactis	20240730	Heat	7	0.498375	NA
63	Madracis decactis	20240730	low_pH	2	0.53037037	NA
64	Madracis decactis	20240730	low_pH	3	0.483083333	NA
65	Madracis decactis	20240807	Control	4	0.506458334	NA
66	Madracis decactis	20240807	Control	5	0.493083333	NA
67	Madracis decactis	20240807	Heat	6	0.528125	NA
68	Madracis decactis	20240807	Heat	7	0.516958334	NA
69	Madracis decactis	20240807	low_pH	2	0.51675	NA
70	Madracis decactis	20240807	low_pH	3	0.509291667	NA
71	Madracis decactis	20240809	Control	4	0.514	NA
72	Madracis decactis	20240809	Control	5	0.515958334	NA
73	Madracis decactis	20240809	Heat	6	0.520791667	NA
74	Madracis decactis	20240809	low_pH	2	0.518541667	NA
75	Madracis decactis	20240809	low_pH	3	0.518208333	NA
76	Madracis decactis	20240815	Control	4	0.491809524	NA
77	Madracis decactis	20240815	Control	5	0.557333334	NA
78	Madracis decactis	20240815	Heat	6	0.492291667	NA
79	Madracis decactis	20240815	Heat	7	0.5755	NA
80	Madracis decactis	20240815	low_pH	2	0.511541667	NA
81	Madracis decactis	20240815	low_pH	3	0.554083333	NA
