"","fragment_ID","micromol.cm2.h","Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-1",0.14011441756991,"pH","1","DL","TP2","Photo"
"2","DL-1-10",0.313495388713392,"Control","1","DL","TP2","Photo"
"3","DL-1-10",0.313495388713392,"Control","1","DL","TP2","Photo"
"4","DL-1-12",0.295948901261088,"Control","1","DL","TP2","Photo"
"5","DL-1-12",0.295948901261088,"Control","1","DL","TP2","Photo"
"6","DL-1-12",0.291235081147389,"Control","1","DL","TP2","Photo"
"7","DL-1-12",0.291235081147389,"Control","1","DL","TP2","Photo"
"8","DL-1-12",0.26372069117291,"Control","1","DL","TP2","Photo"
"9","DL-1-12",0.26372069117291,"Control","1","DL","TP2","Photo"
"10","DL-1-12",0.25900687105921,"Control","1","DL","TP2","Photo"
"11","DL-1-12",0.25900687105921,"Control","1","DL","TP2","Photo"
"12","DL-1-13",0.447151220168068,"pH","1","DL","TP2","Photo"
"13","DL-1-15",0.26013259269396,"pH","1","DL","TP2","Photo"
"14","DL-1-18",0.0806484371080751,"Heat","1","DL","TP2","Photo"
"15","DL-1-18",0.0806484371080751,"Heat","1","DL","TP2","Photo"
"16","DL-1-18",0.0806484371080751,"Heat","1","DL","TP2","Photo"
"17","DL-1-19",0.51293515240979,"Control","1","DL","TP2","Photo"
"18","DL-1-19",0.51293515240979,"Control","1","DL","TP2","Photo"
"19","DL-1-21",0.0568131687942177,"pH","1","DL","TP2","Photo"
"20","DL-1-21",0.0568131687942177,"pH","1","DL","TP2","Photo"
"21","DL-1-21",0.0568131687942177,"pH","1","DL","TP2","Photo"
"22","DL-1-21",0.0568131687942177,"pH","1","DL","TP2","Photo"
"23","DL-1-22",0.250377273081144,"pH","1","DL","TP2","Photo"
"24","DL-1-23",0.222612222963598,"Heat","1","DL","TP2","Photo"
"25","DL-1-23",0.222612222963598,"Heat","1","DL","TP2","Photo"
"26","DL-1-24",0.136493923059036,"Control","1","DL","TP2","Photo"
"27","DL-1-3",0.344554687353175,"Heat","1","DL","TP2","Photo"
"28","DL-1-3",0.344554687353175,"Heat","1","DL","TP2","Photo"
"29","DL-1-3",0.40905241778185,"Heat","1","DL","TP2","Photo"
"30","DL-1-3",0.40905241778185,"Heat","1","DL","TP2","Photo"
"31","DL-1-3",0.376379632208711,"Heat","1","DL","TP2","Photo"
"32","DL-1-3",0.376379632208711,"Heat","1","DL","TP2","Photo"
"33","DL-1-3",0.440877362637386,"Heat","1","DL","TP2","Photo"
"34","DL-1-3",0.440877362637386,"Heat","1","DL","TP2","Photo"
"35","DL-1-7",0.103318533469402,"Control","1","DL","TP2","Photo"
"36","DL-1-8",0.415129367763272,"Control","1","DL","TP2","Photo"
"37","DL-1-9",0.199070498688011,"Heat","1","DL","TP2","Photo"
"38","DL-2-10",0.214938128397913,"Heat","2","DL","TP2","Photo"
"39","DL-2-10",0.214938128397913,"Heat","2","DL","TP2","Photo"
"40","DL-2-10",0.214938128397913,"Heat","2","DL","TP2","Photo"
"41","DL-2-11",0.279489086585097,"Control","2","DL","TP2","Photo"
"42","DL-2-11",0.279489086585097,"Control","2","DL","TP2","Photo"
"43","DL-2-14",0.214632169571691,"Control","2","DL","TP2","Photo"
"44","DL-2-14",0.214632169571691,"Control","2","DL","TP2","Photo"
"45","DL-2-15",0.32848607360185,"Heat","2","DL","TP2","Photo"
"46","DL-2-18",0.728981592572309,"Control","2","DL","TP2","Photo"
"47","DL-2-18",0.728981592572309,"Control","2","DL","TP2","Photo"
"48","DL-2-19",-0.268431731340934,"pH","2","DL","TP2","Photo"
"49","DL-2-19",-0.268431731340934,"pH","2","DL","TP2","Photo"
"50","DL-2-19",-0.268431731340934,"pH","2","DL","TP2","Photo"
"51","DL-2-20",0.216957394052344,"pH","2","DL","TP2","Photo"
"52","DL-2-20",0.216957394052344,"pH","2","DL","TP2","Photo"
"53","DL-2-21",0.395820832934148,"pH","2","DL","TP2","Photo"
"54","DL-2-21",0.395820832934148,"pH","2","DL","TP2","Photo"
"55","DL-2-22",0.344824122157755,"Heat","2","DL","TP2","Photo"
"56","DL-2-22",0.344824122157755,"Heat","2","DL","TP2","Photo"
"57","DL-2-22",0.344824122157755,"Heat","2","DL","TP2","Photo"
"58","DL-2-22",0.40932185258643,"Heat","2","DL","TP2","Photo"
"59","DL-2-22",0.40932185258643,"Heat","2","DL","TP2","Photo"
"60","DL-2-22",0.40932185258643,"Heat","2","DL","TP2","Photo"
"61","DL-2-22",0.306120608384898,"Heat","2","DL","TP2","Photo"
"62","DL-2-22",0.306120608384898,"Heat","2","DL","TP2","Photo"
"63","DL-2-22",0.306120608384898,"Heat","2","DL","TP2","Photo"
"64","DL-2-22",0.370618338813573,"Heat","2","DL","TP2","Photo"
"65","DL-2-22",0.370618338813573,"Heat","2","DL","TP2","Photo"
"66","DL-2-22",0.370618338813573,"Heat","2","DL","TP2","Photo"
"67","DL-2-25",0.835795731913813,"Control","2","DL","TP2","Photo"
"68","DL-2-26",0.708897047941049,"Control","2","DL","TP2","Photo"
"69","DL-2-26",0.708897047941049,"Control","2","DL","TP2","Photo"
"70","DL-2-3",0.226016000136394,"pH","2","DL","TP2","Photo"
"71","DL-2-3",0.226016000136394,"pH","2","DL","TP2","Photo"
"72","DL-2-8",0.0852952103407747,"pH","2","DL","TP2","Photo"
"73","DL-2-8",0.0852952103407747,"pH","2","DL","TP2","Photo"
"74","DL-2-8",0.0852952103407747,"pH","2","DL","TP2","Photo"
"75","DL-2-9",0.634065488372095,"Control","2","DL","TP2","Photo"
"76","DL-2-9",0.634065488372095,"Control","2","DL","TP2","Photo"
"77","DL-3-10",0.181456653464175,"Heat","3","DL","TP2","Photo"
"78","DL-3-10",0.181456653464175,"Heat","3","DL","TP2","Photo"
"79","DL-3-10",0.181456653464175,"Heat","3","DL","TP2","Photo"
"80","DL-3-11",0.342161217767108,"pH","3","DL","TP2","Photo"
"81","DL-3-11",0.342161217767108,"pH","3","DL","TP2","Photo"
"82","DL-3-12",0.203529838215878,"pH","3","DL","TP2","Photo"
"83","DL-3-13",0.253649369775461,"Heat","3","DL","TP2","Photo"
"84","DL-3-13",0.253649369775461,"Heat","3","DL","TP2","Photo"
"85","DL-3-15",0.163112270613123,"Control","3","DL","TP2","Photo"
"86","DL-3-16",0.145084288499642,"pH","3","DL","TP2","Photo"
"87","DL-3-16",0.145084288499642,"pH","3","DL","TP2","Photo"
"88","DL-3-16",0.145084288499642,"pH","3","DL","TP2","Photo"
"89","DL-3-17",0.25702851059747,"pH","3","DL","TP2","Photo"
"90","DL-3-17",0.25702851059747,"pH","3","DL","TP2","Photo"
"91","DL-3-19",0.104241677947587,"Control","3","DL","TP2","Photo"
"92","DL-3-2",0.111199937818271,"Heat","3","DL","TP2","Photo"
"93","DL-3-2",0.111199937818271,"Heat","3","DL","TP2","Photo"
"94","DL-3-2",0.111199937818271,"Heat","3","DL","TP2","Photo"
"95","DL-3-24",0.218195928022733,"Control","3","DL","TP2","Photo"
"96","DL-3-24",0.218195928022733,"Control","3","DL","TP2","Photo"
"97","DL-3-25",0.317061215920216,"pH","3","DL","TP2","Photo"
"98","DL-3-26",0.289649664893762,"Heat","3","DL","TP2","Photo"
"99","DL-3-5",0.161519279702918,"Heat","3","DL","TP2","Photo"
"100","DL-3-6",0.705551719951206,"Control","3","DL","TP2","Photo"
"101","DL-4-1",1.37348123558804,"Control","4","DL","TP2","Photo"
"102","DL-4-1",1.37348123558804,"Control","4","DL","TP2","Photo"
"103","DL-4-11",0.225392317254709,"pH","4","DL","TP2","Photo"
"104","DL-4-14",0.585235878983361,"pH","4","DL","TP2","Photo"
"105","DL-4-17",0.588386910742664,"pH","4","DL","TP2","Photo"
"106","DL-4-17",0.588386910742664,"pH","4","DL","TP2","Photo"
"107","DL-4-17",0.588386910742664,"pH","4","DL","TP2","Photo"
"108","DL-4-17",0.588386910742664,"pH","4","DL","TP2","Photo"
"109","DL-4-18",0.262190928145812,"Control","4","DL","TP2","Photo"
"110","DL-4-18",0.262190928145812,"Control","4","DL","TP2","Photo"
"111","DL-4-19",0.0834857597574788,"Heat","4","DL","TP2","Photo"
"112","DL-4-19",0.0834857597574788,"Heat","4","DL","TP2","Photo"
"113","DL-4-19",0.0834857597574788,"Heat","4","DL","TP2","Photo"
"114","DL-4-20",0.243866808862848,"Heat","4","DL","TP2","Photo"
"115","DL-4-20",0.243866808862848,"Heat","4","DL","TP2","Photo"
"116","DL-4-21",0.203842536404774,"Control","4","DL","TP2","Photo"
"117","DL-4-22",0.296683407869538,"pH","4","DL","TP2","Photo"
"118","DL-4-22",0.296683407869538,"pH","4","DL","TP2","Photo"
"119","DL-4-24",0.273476058212056,"pH","4","DL","TP2","Photo"
"120","DL-4-24",0.273476058212056,"pH","4","DL","TP2","Photo"
"121","DL-4-3",0.459254501263435,"Control","4","DL","TP2","Photo"
"122","DL-4-3",0.459254501263435,"Control","4","DL","TP2","Photo"
"123","DL-4-4",0.182220720727174,"Control","4","DL","TP2","Photo"
"124","DL-4-4",0.182220720727174,"Control","4","DL","TP2","Photo"
"125","DL-4-7",1.02080422500998,"Control","4","DL","TP2","Photo"
"126","MD-1-10",0.136038756425947,"pH","1","MD","TP2","Photo"
"127","MD-1-10",0.136038756425947,"pH","1","MD","TP2","Photo"
"128","MD-1-12",0.0622606665804704,"Heat","1","MD","TP2","Photo"
"129","MD-1-12",0.0622606665804704,"Heat","1","MD","TP2","Photo"
"130","MD-1-12",0.0622606665804704,"Heat","1","MD","TP2","Photo"
"131","MD-1-13",0.0684628540077046,"pH","1","MD","TP2","Photo"
"132","MD-1-15",0.116936078128543,"Heat","1","MD","TP2","Photo"
"133","MD-1-15",0.116936078128543,"Heat","1","MD","TP2","Photo"
"134","MD-1-16",0.0833223761345687,"Heat","1","MD","TP2","Photo"
"135","MD-1-16",0.0833223761345687,"Heat","1","MD","TP2","Photo"
"136","MD-1-17",0.0350815481781296,"Heat","1","MD","TP2","Photo"
"137","MD-1-17",0.0350815481781296,"Heat","1","MD","TP2","Photo"
"138","MD-1-17",0.0350815481781296,"Heat","1","MD","TP2","Photo"
"139","MD-1-18",0.140948140524491,"pH","1","MD","TP2","Photo"
"140","MD-1-18",0.140948140524491,"pH","1","MD","TP2","Photo"
"141","MD-1-19",0.112187069905697,"Control","1","MD","TP2","Photo"
"142","MD-1-2",0.0835922925131773,"Control","1","MD","TP2","Photo"
"143","MD-1-2",0.0835922925131773,"Control","1","MD","TP2","Photo"
