"","fragment_ID","micromol.cm2.h","Priming.Treatment","Secondary.Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-1",0.162245583489679,"pH","Heat","1","DL","TP3","Photo"
"2","DL-1-10",0.455918332847589,"Control","Control","1","DL","TP3","Photo"
"3","DL-1-10",0.455918332847589,"Control","Control","1","DL","TP3","Photo"
"4","DL-1-11",0.603573926610599,"Heat","Control","1","DL","TP3","Photo"
"5","DL-1-13",0.632491899823046,"pH","Control","1","DL","TP3","Photo"
"6","DL-1-14",0.265271469894989,"Control","Control","1","DL","TP3","Photo"
"7","DL-1-16",0.737157386759571,"pH","Heat","1","DL","TP3","Photo"
"8","DL-1-18",0.397063709981286,"Heat","Heat","1","DL","TP3","Photo"
"9","DL-1-18",0.397063709981286,"Heat","Heat","1","DL","TP3","Photo"
"10","DL-1-18",0.397063709981286,"Heat","Heat","1","DL","TP3","Photo"
"11","DL-1-19",-0.15446689178283,"Control","Heat","1","DL","TP3","Photo"
"12","DL-1-19",-0.15446689178283,"Control","Heat","1","DL","TP3","Photo"
"13","DL-1-20",0.648381046717542,"Heat","Heat","1","DL","TP3","Photo"
"14","DL-1-21",0.361654973139056,"pH","Control","1","DL","TP3","Photo"
"15","DL-1-21",0.361654973139056,"pH","Control","1","DL","TP3","Photo"
"16","DL-1-21",0.361654973139056,"pH","Control","1","DL","TP3","Photo"
"17","DL-1-21",0.361654973139056,"pH","Control","1","DL","TP3","Photo"
"18","DL-1-23",0.974261148893955,"Heat","Control","1","DL","TP3","Photo"
"19","DL-1-23",0.974261148893955,"Heat","Control","1","DL","TP3","Photo"
"20","DL-1-24",0.636455018199024,"Control","Control","1","DL","TP3","Photo"
"21","DL-1-4",0.730903503896097,"Control","Heat","1","DL","TP3","Photo"
"22","DL-1-6",0.0877286111418926,"pH","Heat","1","DL","TP3","Photo"
"23","DL-2-1",0.426230535406061,"pH","Heat","2","DL","TP3","Photo"
"24","DL-2-10",0.505857940983867,"Heat","Control","2","DL","TP3","Photo"
"25","DL-2-10",0.505857940983867,"Heat","Control","2","DL","TP3","Photo"
"26","DL-2-10",0.505857940983867,"Heat","Control","2","DL","TP3","Photo"
"27","DL-2-11",0.419095723774357,"Control","Control","2","DL","TP3","Photo"
"28","DL-2-11",0.419095723774357,"Control","Control","2","DL","TP3","Photo"
"29","DL-2-13",0.323662956128082,"Heat","Heat","2","DL","TP3","Photo"
"30","DL-2-13",0.323662956128082,"Heat","Heat","2","DL","TP3","Photo"
"31","DL-2-14",0.665777219248976,"Control","Heat","2","DL","TP3","Photo"
"32","DL-2-14",0.665777219248976,"Control","Heat","2","DL","TP3","Photo"
"33","DL-2-16",0.123411091986063,"pH","Control","2","DL","TP3","Photo"
"34","DL-2-19",0.679128516107526,"pH","Control","2","DL","TP3","Photo"
"35","DL-2-19",0.679128516107526,"pH","Control","2","DL","TP3","Photo"
"36","DL-2-19",0.679128516107526,"pH","Control","2","DL","TP3","Photo"
"37","DL-2-2",0.774127783657721,"Control","Heat","2","DL","TP3","Photo"
"38","DL-2-20",0.618628440241635,"pH","Control","2","DL","TP3","Photo"
"39","DL-2-20",0.618628440241635,"pH","Control","2","DL","TP3","Photo"
"40","DL-2-22",0.639665283214652,"Heat","Heat","2","DL","TP3","Photo"
"41","DL-2-22",0.639665283214652,"Heat","Heat","2","DL","TP3","Photo"
"42","DL-2-22",0.639665283214652,"Heat","Heat","2","DL","TP3","Photo"
"43","DL-2-25",0.64757903052039,"Control","Control","2","DL","TP3","Photo"
"44","DL-2-4",0.690460669106202,"Control","Heat","2","DL","TP3","Photo"
"45","DL-2-7",0.792763286045783,"Heat","Control","2","DL","TP3","Photo"
"46","DL-2-8",0.591995657270417,"pH","Heat","2","DL","TP3","Photo"
"47","DL-2-8",0.591995657270417,"pH","Heat","2","DL","TP3","Photo"
"48","DL-2-8",0.591995657270417,"pH","Heat","2","DL","TP3","Photo"
"49","DL-3-11",0.79607797498307,"pH","Control","3","DL","TP3","Photo"
"50","DL-3-11",0.79607797498307,"pH","Control","3","DL","TP3","Photo"
"51","DL-3-14",0.288578923633752,"Control","Control","3","DL","TP3","Photo"
"52","DL-3-16",0.901262386924128,"pH","Control","3","DL","TP3","Photo"
"53","DL-3-16",0.901262386924128,"pH","Control","3","DL","TP3","Photo"
"54","DL-3-16",0.901262386924128,"pH","Control","3","DL","TP3","Photo"
"55","DL-3-17",0.476048426695273,"pH","Heat","3","DL","TP3","Photo"
"56","DL-3-17",0.476048426695273,"pH","Heat","3","DL","TP3","Photo"
"57","DL-3-19",0.599549608286302,"Control","Heat","3","DL","TP3","Photo"
"58","DL-3-24",0.754862772812883,"Control","Control","3","DL","TP3","Photo"
"59","DL-3-24",0.754862772812883,"Control","Control","3","DL","TP3","Photo"
"60","DL-3-4",0.521528686871101,"Control","Heat","3","DL","TP3","Photo"
