"","fragment_ID","micromol.cm2.h","Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-1",-0.209147058817322,"pH","1","DL","TP2","Resp"
"2","DL-1-10",-0.35718112076077,"Control","1","DL","TP2","Resp"
"3","DL-1-10",-0.35718112076077,"Control","1","DL","TP2","Resp"
"4","DL-1-12",0.017441713423248,"Control","1","DL","TP2","Resp"
"5","DL-1-12",0.017441713423248,"Control","1","DL","TP2","Resp"
"6","DL-1-12",0.0166696949218529,"Control","1","DL","TP2","Resp"
"7","DL-1-12",0.0166696949218529,"Control","1","DL","TP2","Resp"
"8","DL-1-12",-0.296871777330664,"Control","1","DL","TP2","Resp"
"9","DL-1-12",-0.296871777330664,"Control","1","DL","TP2","Resp"
"10","DL-1-12",-0.297643795832059,"Control","1","DL","TP2","Resp"
"11","DL-1-12",-0.297643795832059,"Control","1","DL","TP2","Resp"
"12","DL-1-13",-0.32409349201742,"pH","1","DL","TP2","Resp"
"13","DL-1-15",-0.296247606298562,"pH","1","DL","TP2","Resp"
"14","DL-1-18",-0.268227203164435,"Heat","1","DL","TP2","Resp"
"15","DL-1-18",-0.268227203164435,"Heat","1","DL","TP2","Resp"
"16","DL-1-18",-0.268227203164435,"Heat","1","DL","TP2","Resp"
"17","DL-1-19",-0.465877186447992,"Control","1","DL","TP2","Resp"
"18","DL-1-19",-0.465877186447992,"Control","1","DL","TP2","Resp"
"19","DL-1-21",-0.262577333724718,"pH","1","DL","TP2","Resp"
"20","DL-1-21",-0.262577333724718,"pH","1","DL","TP2","Resp"
"21","DL-1-21",-0.262577333724718,"pH","1","DL","TP2","Resp"
"22","DL-1-21",-0.262577333724718,"pH","1","DL","TP2","Resp"
"23","DL-1-22",-0.245716280878258,"pH","1","DL","TP2","Resp"
"24","DL-1-23",-0.305572561192955,"Heat","1","DL","TP2","Resp"
"25","DL-1-23",-0.305572561192955,"Heat","1","DL","TP2","Resp"
"26","DL-1-24",-0.303077590317638,"Control","1","DL","TP2","Resp"
"27","DL-1-3",-0.519325224773562,"Heat","1","DL","TP2","Resp"
"28","DL-1-3",-0.519325224773562,"Heat","1","DL","TP2","Resp"
"29","DL-1-3",-0.466633208486825,"Heat","1","DL","TP2","Resp"
"30","DL-1-3",-0.466633208486825,"Heat","1","DL","TP2","Resp"
"31","DL-1-3",-0.691851635774319,"Heat","1","DL","TP2","Resp"
"32","DL-1-3",-0.691851635774319,"Heat","1","DL","TP2","Resp"
"33","DL-1-3",-0.639159619487582,"Heat","1","DL","TP2","Resp"
"34","DL-1-3",-0.639159619487582,"Heat","1","DL","TP2","Resp"
"35","DL-1-7",-0.167848721809119,"Control","1","DL","TP2","Resp"
"36","DL-1-8",-0.457559428130165,"Control","1","DL","TP2","Resp"
"37","DL-1-9",-0.273769315508014,"Heat","1","DL","TP2","Resp"
"38","DL-2-10",-0.303796084082188,"Heat","2","DL","TP2","Resp"
"39","DL-2-10",-0.303796084082188,"Heat","2","DL","TP2","Resp"
"40","DL-2-10",-0.303796084082188,"Heat","2","DL","TP2","Resp"
"41","DL-2-11",-0.219606689573083,"Control","2","DL","TP2","Resp"
"42","DL-2-11",-0.219606689573083,"Control","2","DL","TP2","Resp"
"43","DL-2-14",-0.247305683685968,"Control","2","DL","TP2","Resp"
"44","DL-2-14",-0.247305683685968,"Control","2","DL","TP2","Resp"
"45","DL-2-15",-0.379045547132151,"Heat","2","DL","TP2","Resp"
"46","DL-2-18",-0.499058726768145,"Control","2","DL","TP2","Resp"
"47","DL-2-18",-0.499058726768145,"Control","2","DL","TP2","Resp"
"48","DL-2-19",0.0470436206754984,"pH","2","DL","TP2","Resp"
"49","DL-2-19",0.0470436206754984,"pH","2","DL","TP2","Resp"
"50","DL-2-19",0.0470436206754984,"pH","2","DL","TP2","Resp"
"51","DL-2-20",-0.174195245507427,"pH","2","DL","TP2","Resp"
"52","DL-2-20",-0.174195245507427,"pH","2","DL","TP2","Resp"
"53","DL-2-21",-0.302274643057683,"pH","2","DL","TP2","Resp"
"54","DL-2-21",-0.302274643057683,"pH","2","DL","TP2","Resp"
"55","DL-2-22",-0.325617930425292,"Heat","2","DL","TP2","Resp"
"56","DL-2-22",-0.325617930425292,"Heat","2","DL","TP2","Resp"
"57","DL-2-22",-0.325617930425292,"Heat","2","DL","TP2","Resp"
"58","DL-2-22",-0.272925914138555,"Heat","2","DL","TP2","Resp"
"59","DL-2-22",-0.272925914138555,"Heat","2","DL","TP2","Resp"
"60","DL-2-22",-0.272925914138555,"Heat","2","DL","TP2","Resp"
"61","DL-2-22",-0.340352214368139,"Heat","2","DL","TP2","Resp"
"62","DL-2-22",-0.340352214368139,"Heat","2","DL","TP2","Resp"
"63","DL-2-22",-0.340352214368139,"Heat","2","DL","TP2","Resp"
"64","DL-2-22",-0.287660198081402,"Heat","2","DL","TP2","Resp"
"65","DL-2-22",-0.287660198081402,"Heat","2","DL","TP2","Resp"
