"","fragment_ID","micromol.cm2.h","Priming.Treatment","Secondary.Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-11",-0.594027366594675,"Heat","Control","1","DL","TP4","Resp"
"2","DL-1-13",-0.729767934709185,"pH","Control","1","DL","TP4","Resp"
"3","DL-1-14",-0.308255191858373,"Control","Control","1","DL","TP4","Resp"
"4","DL-1-16",-0.744882065878899,"pH","Heat","1","DL","TP4","Resp"
"5","DL-1-18",-0.489164805568197,"Heat","Heat","1","DL","TP4","Resp"
"6","DL-1-18",-0.489164805568197,"Heat","Heat","1","DL","TP4","Resp"
"7","DL-1-18",-0.489164805568197,"Heat","Heat","1","DL","TP4","Resp"
"8","DL-1-19",-0.431322076853092,"Control","Heat","1","DL","TP4","Resp"
"9","DL-1-19",-0.431322076853092,"Control","Heat","1","DL","TP4","Resp"
"10","DL-1-20",-0.657679888318616,"Heat","Heat","1","DL","TP4","Resp"
"11","DL-1-24",-0.242337008844808,"Control","Control","1","DL","TP4","Resp"
"12","DL-1-6",-0.360899339764583,"pH","Control","1","DL","TP4","Resp"
"13","DL-1-7",-0.514615021836318,"Control","Heat","1","DL","TP4","Resp"
"14","DL-2-10",-0.307142695967026,"Heat","Heat","2","DL","TP4","Resp"
"15","DL-2-10",-0.307142695967026,"Heat","Heat","2","DL","TP4","Resp"
"16","DL-2-10",-0.307142695967026,"Heat","Heat","2","DL","TP4","Resp"
"17","DL-2-13",-0.594405801621035,"Heat","Heat","2","DL","TP4","Resp"
"18","DL-2-13",-0.594405801621035,"Heat","Heat","2","DL","TP4","Resp"
"19","DL-2-19",-0.633427653038495,"pH","Heat","2","DL","TP4","Resp"
"20","DL-2-19",-0.633427653038495,"pH","Heat","2","DL","TP4","Resp"
"21","DL-2-19",-0.633427653038495,"pH","Heat","2","DL","TP4","Resp"
"22","DL-2-2",-0.737733892511618,"Control","Heat","2","DL","TP4","Resp"
"23","DL-2-20",-0.511292049906191,"pH","Control","2","DL","TP4","Resp"
"24","DL-2-20",-0.511292049906191,"pH","Control","2","DL","TP4","Resp"
"25","DL-2-25",-0.632948682465733,"Control","Control","2","DL","TP4","Resp"
"26","DL-2-26",-0.398543577903658,"Control","Control","2","DL","TP4","Resp"
"27","DL-2-26",-0.398543577903658,"Control","Control","2","DL","TP4","Resp"
"28","DL-2-3",-0.340660134784928,"pH","Control","2","DL","TP4","Resp"
"29","DL-2-3",-0.340660134784928,"pH","Control","2","DL","TP4","Resp"
"30","DL-2-4",-0.533578394470656,"Control","Heat","2","DL","TP4","Resp"
"31","DL-2-8",-0.54890311853913,"pH","Heat","2","DL","TP4","Resp"
"32","DL-2-8",-0.54890311853913,"pH","Heat","2","DL","TP4","Resp"
"33","DL-2-8",-0.54890311853913,"pH","Heat","2","DL","TP4","Resp"
"34","DL-3-10",-0.470287959505947,"Heat","Control","3","DL","TP4","Resp"
"35","DL-3-10",-0.470287959505947,"Heat","Control","3","DL","TP4","Resp"
"36","DL-3-10",-0.470287959505947,"Heat","Control","3","DL","TP4","Resp"
"37","DL-3-11",-0.43278693348975,"pH","Control","3","DL","TP4","Resp"
"38","DL-3-11",-0.43278693348975,"pH","Control","3","DL","TP4","Resp"
"39","DL-3-14",-0.28553794728914,"Control","Control","3","DL","TP4","Resp"
"40","DL-3-19",-0.489080597533622,"Control","Heat","3","DL","TP4","Resp"
"41","DL-3-2",-0.499408615384626,"Heat","Control","3","DL","TP4","Resp"
"42","DL-3-2",-0.499408615384626,"Heat","Control","3","DL","TP4","Resp"
"43","DL-3-2",-0.499408615384626,"Heat","Control","3","DL","TP4","Resp"
"44","DL-3-22",-0.481635535252218,"Heat","Heat","3","DL","TP4","Resp"
"45","DL-3-24",-0.501004341210565,"Control","Control","3","DL","TP4","Resp"
"46","DL-3-24",-0.501004341210565,"Control","Control","3","DL","TP4","Resp"
"47","DL-3-9",-0.299462000509126,"pH","Heat","3","DL","TP4","Resp"
"48","DL-4-1",-1.16665089749945,"Control","Heat","4","DL","TP4","Resp"
"49","DL-4-1",-1.16665089749945,"Control","Heat","4","DL","TP4","Resp"
"50","DL-4-12",-0.485624412129891,"pH","Control","4","DL","TP4","Resp"
"51","DL-4-17",-1.09202595831592,"pH","Heat","4","DL","TP4","Resp"
"52","DL-4-17",-1.09202595831592,"pH","Heat","4","DL","TP4","Resp"
"53","DL-4-17",-1.09202595831592,"pH","Heat","4","DL","TP4","Resp"
"54","DL-4-17",-1.09202595831592,"pH","Heat","4","DL","TP4","Resp"
"55","DL-4-19",-0.773999531178249,"Heat","Control","4","DL","TP4","Resp"
"56","DL-4-19",-0.773999531178249,"Heat","Control","4","DL","TP4","Resp"
"57","DL-4-19",-0.773999531178249,"Heat","Control","4","DL","TP4","Resp"
"58","DL-4-2",-0.546814451091637,"Control","Heat","4","DL","TP4","Resp"
"59","DL-4-22",-0.686824415935645,"pH","Control","4","DL","TP4","Resp"
"60","DL-4-22",-0.686824415935645,"pH","Control","4","DL","TP4","Resp"
"61","DL-4-23",-0.522483188030335,"Control","Control","4","DL","TP4","Resp"
"62","DL-4-24",-1.04122320156608,"pH","Heat","4","DL","TP4","Resp"
"63","DL-4-24",-1.04122320156608,"pH","Heat","4","DL","TP4","Resp"
"64","DL-4-3",-0.6410849758532,"Control","Control","4","DL","TP4","Resp"
"65","DL-4-3",-0.6410849758532,"Control","Control","4","DL","TP4","Resp"
"66","MD-1-10",-0.323345971857407,"pH","Control","1","MD","TP4","Resp"
"67","MD-1-10",-0.323345971857407,"pH","Control","1","MD","TP4","Resp"
"68","MD-1-12",-0.324154330960757,"Heat","Control","1","MD","TP4","Resp"
"69","MD-1-12",-0.324154330960757,"Heat","Control","1","MD","TP4","Resp"
"70","MD-1-12",-0.324154330960757,"Heat","Control","1","MD","TP4","Resp"
"71","MD-1-13",-0.398554767685535,"pH","Heat","1","MD","TP4","Resp"
"72","MD-1-16",-0.380655919845138,"Heat","Heat","1","MD","TP4","Resp"
"73","MD-1-16",-0.380655919845138,"Heat","Heat","1","MD","TP4","Resp"
"74","MD-1-17",-0.231832706967446,"Heat","Heat","1","MD","TP4","Resp"
"75","MD-1-17",-0.231832706967446,"Heat","Heat","1","MD","TP4","Resp"
"76","MD-1-17",-0.231832706967446,"Heat","Heat","1","MD","TP4","Resp"
"77","MD-1-18",-0.295844764371418,"pH","Control","1","MD","TP4","Resp"
"78","MD-1-18",-0.295844764371418,"pH","Control","1","MD","TP4","Resp"
"79","MD-1-24",-0.220784950298709,"Control","Control","1","MD","TP4","Resp"
"80","MD-1-24",-0.220784950298709,"Control","Control","1","MD","TP4","Resp"
"81","MD-1-25",-0.246149689435162,"Control","Heat","1","MD","TP4","Resp"
"82","MD-1-4",-0.35629460003496,"pH","Heat","1","MD","TP4","Resp"
"83","MD-1-7",-0.543489892056697,"Control","Heat","1","MD","TP4","Resp"
"84","MD-1-9",-0.0636585933966694,"Control","Control","1","MD","TP4","Resp"
"85","MD-2-17",-0.368131430619907,"pH","Control","2","MD","TP4","Resp"
"86","MD-2-17",-0.368131430619907,"pH","Control","2","MD","TP4","Resp"
"87","MD-2-19",-0.157189030915775,"Control","Heat","2","MD","TP4","Resp"
"88","MD-2-20",-0.302639074346028,"pH","Heat","2","MD","TP4","Resp"
"89","MD-2-20",-0.302639074346028,"pH","Heat","2","MD","TP4","Resp"
"90","MD-2-20",-0.302639074346028,"pH","Heat","2","MD","TP4","Resp"
"91","MD-2-20",-0.302639074346028,"pH","Heat","2","MD","TP4","Resp"
"92","MD-2-24",-0.183219641618766,"Control","Heat","2","MD","TP4","Resp"
"93","MD-2-24",-0.183219641618766,"Control","Heat","2","MD","TP4","Resp"
"94","MD-2-3",-0.320054531380538,"Heat","Heat","2","MD","TP4","Resp"
